"Category","Annual Mean","5-yr smooth"
"1901",24.3,24.28
"1902",24.37,24.3
"1903",24.18,24.31
"1904",24.11,24.32
"1905",24.56,24.33
"1906",24.57,24.33
"1907",24.22,24.33
"1908",24.22,24.33
"1909",24.29,24.32
"1910",24.2,24.31
"1911",24.4,24.3
"1912",24.31,24.27
"1913",24.16,24.25
"1914",24.38,24.23
"1915",24.28,24.21
"1916",24.17,24.21
"1917",24.06,24.22
"1918",24.25,24.25
"1919",24.4,24.29
"1920",24.29,24.33
"1921",24.28,24.37
"1922",24.5,24.4
"1923",24.5,24.42
"1924",24.48,24.42
"1925",24.15,24.42
"1926",24.52,24.43
"1927",24.41,24.43
"1928",24.51,24.45
"1929",24.52,24.47
"1930",24.37,24.49
"1931",24.71,24.5
"1932",24.36,24.5
"1933",24.55,24.49
"1934",24.24,24.46
"1935",24.71,24.42
"1936",24.21,24.39
"1937",24.55,24.37
"1938",24.18,24.37
"1939",24.13,24.39
"1940",24.46,24.42
"1941",24.95,24.47
"1942",24.61,24.51
"1943",24.38,24.53
"1944",24.31,24.54
"1945",24.35,24.54
"1946",24.74,24.52
"1947",24.51,24.49
"1948",24.38,24.44
"1949",24.51,24.39
"1950",24.23,24.33
"1951",24.17,24.27
"1952",24.4,24.23
"1953",24.37,24.2
"1954",24.26,24.19
"1955",24,24.2
"1956",23.91,24.22
"1957",24.22,24.24
"1958",24.37,24.26
"1959",24.36,24.27
"1960",24.45,24.27
"1961",24.32,24.26
"1962",24.05,24.25
"1963",24.15,24.24
"1964",24.16,24.24
"1965",24.28,24.25
"1966",24.66,24.26
"1967",23.94,24.26
"1968",24.22,24.25
"1969",24.4,24.23
"1970",24.16,24.19
"1971",23.75,24.15
"1972",24.29,24.12
"1973",24.56,24.1
"1974",23.98,24.13
"1975",24.24,24.19
"1976",23.98,24.28
"1977",24.32,24.38
"1978",24.42,24.46
"1979",24.7,24.5
"1980",24.67,24.48
"1981",24.3,24.42
"1982",24.24,24.34
"1983",24.39,24.26
"1984",24.06,24.23
"1985",24.13,24.25
"1986",24.27,24.34
"1987",24.93,24.47
"1988",24.54,24.6
"1989",24.57,24.71
"1990",24.86,24.77
"1991",24.89,24.78
"1992",24.5,24.74
"1993",24.57,24.68
"1994",24.77,24.63
"1995",24.55,24.6
"1996",24.33,24.6
"1997",24.74,24.64
"1998",25.42,24.69
"1999",24.55,24.74
"2000",24.49,24.79
"2001",24.7,24.81
"2002",24.82,24.8
"2003",24.88,24.78
"2004",24.59,24.75
"2005",24.79,24.71
"2006",24.91,24.66
"2007",24.59,24.63
"2008",24.16,24.6
"2009",24.79,24.59
"2010",25.04,24.6
"2011",24.13,24.65
"2012",24.9,24.72
"2013",24.67,24.81
"2014",24.9,24.9
"2015",25.27,24.99
"2016",25.2,25.06
"2017",24.82,25.1
"2018",24.8,25.12
"2019",25.4,25.12
"2020",25.22,25.12
"2021",25.03,25.11
